title_base,genre,duration_min,avg_rating,year,director,title,movie_id,pace,description
,,,,,,,,,
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Original,M002,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Original,M003,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Original,M004,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Original,M005,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Original,M006,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Original,M007,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Original,M008,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Original,M009,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Original,M010,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Original,M011,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Original,M012,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Original,M013,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Original,M014,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Original,M015,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Original,M016,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Original,M017,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Original,M018,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Reloaded,M019,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Reloaded,M020,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Reloaded,M021,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Reloaded,M022,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Reloaded,M023,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Reloaded,M024,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Reloaded,M025,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Reloaded,M026,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Reloaded,M027,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Reloaded,M028,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Reloaded,M029,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Reloaded,M030,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Reloaded,M031,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Reloaded,M032,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Reloaded,M033,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Reloaded,M034,LENT,Synopsis de test généré par le pipeline de données Pandas.
